,Color_PCA_KNN,Color_PCA_RandomForest,Color_PCA_SVM,Color_noPCA_KNN,Color_noPCA_RandomForest,Color_noPCA_SVM,HOG_PCA_KNN,HOG_PCA_RandomForest,HOG_PCA_SVM,HOG_noPCA_KNN,HOG_noPCA_RandomForest,HOG_noPCA_SVM,SIFT_PCA_KNN,SIFT_PCA_RandomForest,SIFT_PCA_SVM,SIFT_noPCA_KNN,SIFT_noPCA_RandomForest,SIFT_noPCA_SVM
accelgor,0.75,1.0,0.0,0.75,0.75,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.5,0.0,0.25,0.0
alcremie,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0
altaria,0.625,0.875,0.625,0.75,0.875,0.625,0.75,1.0,1.0,0.875,1.0,1.0,0.25,0.75,0.75,0.25,0.875,0.25
araquanid,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
arbok,0.25,0.625,0.5,0.5,0.625,0.5,0.75,1.0,0.875,0.75,1.0,0.875,0.5,0.75,0.25,0.5,0.75,0.0
arceus,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666
azelf,1.0,1.0,0.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,0.0
barboach,0.625,0.75,0.0,0.75,0.625,0.0,0.875,0.875,0.875,1.0,0.875,0.875,0.625,0.625,0.75,0.625,0.75,0.25
beartic,0.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,0.25,0.5,0.0
beedrill,0.125,0.375,0.125,0.125,0.375,0.125,0.5,0.875,1.0,0.5,0.875,1.0,0.25,0.625,0.0,0.25,0.75,0.0
bellibolt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
binacle,0.5,0.5,0.0,0.25,0.25,0.0,0.25,0.75,0.5,0.25,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.0
bisharp,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
brambleghast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
bramblin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
braviary,0.5,0.75,0.0,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.0
